date,sp500,momentum,value
2016-02-03,0.4992038935398218,-2.65,0.67
2016-02-04,0.1526732629409628,-2.15,0.37
2016-02-05,-1.8481246133065947,-0.76,-1.96
2016-02-08,-1.4153935962584503,0.39,-1.24
2016-02-09,-0.0663620100544746,1.56,0.08
2016-02-10,-0.0188950500952396,0.8,-0.14
2016-02-11,-1.2301161634528346,0.42,-1.03
2016-02-12,1.9518049434029336,-1.16,1.85
2016-02-16,1.6516654254666407,-0.91,1.85
2016-02-17,1.64804390873187,-1.82,1.7
2016-02-18,-0.4665713586089409,0.08,-0.45
2016-02-19,-0.0026033069221595,1.1,-0.09
2016-02-22,1.4454197343192787,-1.12,1.41
2016-02-23,-1.2454371626831184,1.07,-0.91
2016-02-24,0.443978665736949,-0.08,0.62
2016-02-25,1.134827518081388,0.36,1.06
2016-02-26,-0.1870114306315372,-1.61,-0.22
2016-02-29,-0.8120976670040306,-0.44,-0.64
2016-03-01,2.3868792264573044,-0.56,2.3
2016-03-02,0.4094308437972684,-1.33,0.03
2016-03-03,0.3498740552965357,-1.62,0.38
2016-03-04,0.3305892405266673,-0.9,0.4
2016-03-07,0.0885014429497412,-1.5,0.16
2016-03-08,-1.1240108648189049,2.86,-0.97
2016-03-09,0.5052393293188396,-0.2,0.39
2016-03-10,0.0155804670300429,0.38,-0.01
2016-03-11,1.639550047766957,-1.72,1.52
2016-03-14,-0.1260972546792102,0.1,-0.04
2016-03-15,-0.1836941718546818,1.41,-0.2
2016-03-16,0.5600351548705103,-0.78,0.79
2016-03-17,0.6595236427847926,-1.02,0.62
2016-03-18,0.4405643539266504,-0.7,0.3
2016-03-21,0.0985577495450232,-0.13,0.2
2016-03-22,-0.0877387850465946,0.1,-0.08
2016-03-23,-0.6386031655324604,2.15,-0.7
2016-03-24,-0.0378070522924069,-0.03,0.03
2016-03-28,0.0545255769899871,0.43,0.07
2016-03-29,0.8816651809226127,0.19,1.08
2016-03-30,0.4350315062455628,-0.19,0.59
2016-03-31,-0.2039759248018713,-0.55,-0.19
2016-04-01,0.6330915097686663,0.89,0.57
2016-04-04,-0.3208322111830036,0.23,-0.32
2016-04-05,-1.014449245057428,0.1,-0.66
2016-04-06,1.0507619189438844,-0.88,1.0
2016-04-07,-1.1975786560861146,0.67,-1.19
2016-04-08,0.2786578206314941,-0.63,0.33
2016-04-11,-0.2739786123146736,-0.26,-0.31
2016-04-12,0.9662134044055808,-1.24,0.96
2016-04-13,1.0040137017230288,-1.29,0.88
2016-04-14,0.0172927177749104,-0.08,-0.1
2016-04-15,-0.0984284932376766,0.72,-0.05
2016-04-18,0.6541025568343979,-0.07,0.4
2016-04-19,0.308448519751584,-0.92,-0.04
2016-04-20,0.0761544631894744,-1.14,0.05
2016-04-21,-0.5194027068595269,-0.75,-0.61
2016-04-22,0.0047859889148873,-1.18,0.11
2016-04-25,-0.1812045849864888,1.2,-0.16
2016-04-26,0.1872751534858758,-0.7,0.16
2016-04-27,0.1649352718276205,0.0,-0.18
2016-04-28,-0.9230768157227636,0.51,-1.06
2016-04-29,-0.5063088481738572,0.87,-0.47
2016-05-02,0.7809946553678732,0.98,0.86
2016-05-03,-0.8676638460102445,1.33,-0.79
2016-05-04,-0.5936889314753994,1.22,-0.71
2016-05-05,-0.0239007942995462,0.28,-0.19
2016-05-06,0.3174639194507642,0.57,0.45
2016-05-09,0.0753496641270988,0.9,0.22
2016-05-10,1.2483643839788858,-0.62,1.19
2016-05-11,-0.9561518249023676,0.42,-1.09
2016-05-12,-0.0169465141784869,1.13,-0.11
2016-05-13,-0.8478288992748932,0.37,-0.87
2016-05-16,0.9796652584981904,-0.76,1.06
2016-05-17,-0.9411297372666148,-1.39,-0.94
2016-05-18,0.0205178759385667,-0.28,-0.38
2016-05-19,-0.3706707745767773,0.37,-0.17
2016-05-20,0.6019503914256269,-0.85,0.59
2016-05-23,-0.2085458826200988,-0.32,-0.05
2016-05-24,1.3681382915580749,-0.22,1.33
2016-05-25,0.6974740416216479,-1.36,0.69
2016-05-26,-0.0210443709181735,0.53,0.16
2016-05-27,0.4286857365622697,-0.45,0.35
2016-05-31,-0.1005263280082189,-0.35,-0.07
2016-06-01,0.113504234989722,0.07,0.1
2016-06-02,0.2824678244809108,-0.41,0.38
2016-06-03,-0.2911814678891068,1.11,-0.08
2016-06-06,0.4897281051188994,-1.21,0.43
2016-06-07,0.1289446391868254,-0.08,0.24
2016-06-08,0.3309566355868269,0.58,0.23
2016-06-09,-0.1717758691826114,1.18,-0.14
2016-06-10,-0.91751811331252,1.42,-0.88
2016-06-13,-0.8115191023280278,0.35,-0.95
2016-06-14,-0.1798885502999275,0.74,-0.15
2016-06-15,-0.1840712697237789,-0.24,-0.13
2016-06-16,0.3132990586531515,0.44,0.31
2016-06-17,-0.3257965164692659,-0.69,-0.32
2016-06-20,0.5808185112367291,-0.24,0.7
2016-06-21,0.2712061442457751,0.34,0.13
2016-06-22,-0.165156357980434,0.04,-0.16
2016-06-23,1.3364078570495477,-0.9,1.17
2016-06-24,-3.591979991551379,2.2,-3.3
2016-06-27,-1.809650212020111,2.38,-1.78
2016-06-28,1.7770165208875397,-0.95,1.6
2016-06-29,1.7032672710494527,-0.99,1.63
2016-06-30,1.3565044272758036,0.5,1.28
2016-07-01,0.1948602475391221,-0.63,0.38
2016-07-05,-0.6847477275031026,1.71,-0.6
2016-07-06,0.5352962934909359,-0.09,0.64
2016-07-07,-0.0871577782587053,-0.86,0.18
2016-07-08,1.5253349299217422,-0.67,1.47
2016-07-11,0.3408615584790033,-0.28,0.42
2016-07-12,0.7009293462734553,-1.36,0.56
2016-07-13,0.0134767726272512,0.66,-0.06
2016-07-14,0.5259203949780417,-0.6,0.58
2016-07-15,-0.0928947429231642,-0.06,-0.12
2016-07-18,0.2382295291673812,-0.55,0.26
2016-07-19,-0.1435173983711047,0.4,-0.05
2016-07-20,0.4270300527854589,-1.05,0.44
2016-07-21,-0.361252907370816,-0.12,-0.47
2016-07-22,0.4553964517894301,0.09,0.37
2016-07-25,-0.3011475203867148,-0.3,-0.08
2016-07-26,0.0322784626307658,-0.38,0.0
2016-07-27,-0.1198542343881526,-0.41,0.13
2016-07-28,0.160620926747022,0.24,0.27
2016-07-29,0.1631309228202323,0.34,0.04
2016-08-01,-0.1269787392142437,-0.08,0.22
2016-08-02,-0.6361619668044342,0.65,-0.91
2016-08-03,0.3133943389343499,-1.58,0.21
2016-08-04,0.021257191858254,0.42,0.16
2016-08-05,0.8603496361326275,-1.42,0.8
2016-08-08,-0.0907165288753807,-0.18,-0.1
2016-08-09,0.0389793635491897,0.31,0.02
2016-08-10,-0.2864685997711395,0.69,-0.06
2016-08-11,0.4734588091577449,-0.49,0.54
2016-08-12,-0.0796046266546296,-0.13,-0.06
2016-08-15,0.2792908982462684,-0.96,0.41
2016-08-16,-0.5479077020728967,-0.26,-0.57
2016-08-17,0.1868589942438165,0.38,0.11
2016-08-18,0.2199617391366979,0.05,0.14
2016-08-19,-0.144027168073182,-0.39,-0.02
2016-08-22,-0.0563322878235236,0.17,0.06
2016-08-23,0.195176905437423,-0.51,0.22
2016-08-24,-0.52402768821378,0.04,-0.51
2016-08-25,-0.1365227301395816,0.47,-0.17
2016-08-26,-0.1578816759626459,-0.3,-0.24
2016-08-29,0.5228047337119548,0.09,0.33
2016-08-30,-0.1953680655931468,-0.74,-0.33
2016-08-31,-0.2375864254739728,0.07,-0.12
2016-09-01,-0.0041384648208356,0.6,0.21
2016-09-02,0.4201041315648488,0.27,0.42
2016-09-06,0.2981678758352634,0.4,0.25
2016-09-07,-0.0146385058599984,-0.54,0.0
2016-09-08,-0.2223013501127694,-0.31,-0.63
2016-09-09,-2.452206885729549,-0.47,-2.54
2016-09-12,1.467705252539182,0.0,1.54
2016-09-13,-1.4830674013266896,-0.35,-1.11
2016-09-14,-0.0587676650076852,0.28,0.27
2016-09-15,1.0109273250546658,0.05,1.18
2016-09-16,-0.3772294907126729,0.06,-0.25
2016-09-19,-0.0018603097307708,0.06,-0.17
2016-09-20,0.0299138414394881,0.1,0.15
2016-09-21,1.0917162154086817,0.68,0.9
2016-09-22,0.6499784681166466,-0.28,0.68
2016-09-23,-0.5736774814255415,-0.23,-0.52
2016-09-26,-0.8587762454059558,0.31,-0.8
2016-09-27,0.6444170061260637,0.18,0.75
2016-09-28,0.5296553758763496,-0.25,0.23
2016-09-29,-0.9321411325290326,0.12,-0.8
2016-09-30,0.7967969361336945,-0.32,0.89
2016-10-03,-0.3260695824222057,-0.15,-0.23
2016-10-04,-0.4955562300028953,-0.83,-0.52
2016-10-05,0.4296690541675124,-0.62,0.32
2016-10-06,0.0481560199483762,0.25,-0.03
2016-10-07,-0.325348368171079,0.13,-0.56
2016-10-10,0.4605905098135844,-0.1,0.37
2016-10-11,-1.2446471763257407,-0.13,-1.09
2016-10-12,0.1146589425398495,0.49,0.22
2016-10-13,-0.3099263835091018,0.41,-0.11
2016-10-14,0.0201604178153628,-0.1,0.01
2016-10-17,-0.3037993821207861,0.36,-0.31
2016-10-18,0.6160403479896491,-0.1,0.35
2016-10-19,0.2191970828746938,-0.21,0.01
2016-10-20,-0.1375723874264593,-0.45,-0.35
2016-10-21,-0.0084141702203002,-0.18,-0.08
2016-10-24,0.4749839534638121,0.15,0.71
2016-10-25,-0.3797727779456017,0.34,-0.47
2016-10-26,-0.174041142665796,-0.55,-0.31
2016-10-27,-0.2986726933387613,-0.31,-0.3
2016-10-28,-0.3108299365589125,0.35,-0.58
2016-10-31,-0.0122276518056395,0.52,-0.03
2016-11-01,-0.6786883176217423,-0.03,-0.77
2016-11-02,-0.6525500629458174,0.04,-0.36
2016-11-03,-0.4423400698294829,0.71,-0.56
2016-11-04,-0.16661305078948,-0.39,-0.24
2016-11-07,2.222354401596069,-0.43,2.13
2016-11-08,0.3771974424148256,0.6,0.52
2016-11-09,1.1077020670818225,-1.83,1.01
2016-11-10,0.1950745624886813,-2.51,-0.1
2016-11-11,-0.139795016699532,-0.83,0.12
2016-11-14,-0.01155027862319,-1.23,-0.25
2016-11-15,0.7480797692708188,1.09,0.59
2016-11-16,-0.1582263801109969,0.46,0.27
2016-11-17,0.467636970973298,-0.42,0.5
2016-11-18,-0.2386798493335919,0.14,-0.15
2016-11-21,0.7461400949272281,0.57,0.84
2016-11-22,0.2165431924250722,0.13,0.59
2016-11-23,0.0808024752228094,-0.37,0.11
2016-11-25,0.3914386912404805,-0.13,0.43
2016-11-28,-0.5254535651865005,0.51,-0.46
2016-11-29,0.1335292879532176,0.08,0.16
2016-11-30,-0.2653403805348535,0.45,-0.9
2016-12-01,-0.3515529214704194,-0.4,-0.47
2016-12-02,0.0397006484945137,0.58,0.05
2016-12-05,0.5821305360635018,-0.21,0.35
2016-12-06,0.3410888113640652,-0.47,0.35
2016-12-07,1.3163241734930209,0.11,1.48
2016-12-08,0.2159342712376298,-0.36,0.07
2016-12-09,0.5938984836723531,-0.82,0.54
2016-12-12,-0.1137434761660338,0.17,-0.24
2016-12-13,0.6539774854251376,-0.08,0.71
2016-12-14,-0.8117172114256144,-0.25,-0.74
2016-12-15,0.388322795541894,0.05,0.29
2016-12-16,-0.1750622648343286,-0.65,-0.2
2016-12-19,0.1975120729513173,0.03,0.3
2016-12-20,0.3637512384150527,0.31,0.45
2016-12-21,-0.2457361401216484,0.24,-0.26
2016-12-22,-0.1862973859332242,0.17,-0.37
2016-12-23,0.1251715222213949,-0.35,0.07
2016-12-27,0.2248372822705767,0.14,0.27
2016-12-28,-0.8356529202828483,0.08,-0.69
2016-12-29,-0.029330466100032,0.02,0.0
2016-12-30,-0.463705038707375,-0.21,-0.65
